champion_id,champion_name,champion_organization,dont.exclude
134,FamilyLife Weekend to Remember,FamilyLife Weekend to Remember,TRUE
135,FamilyLife Art of Marriage,FamilyLife Art of Marriage,TRUE
136,Cru LAC,Cru LAC,TRUE
137,REVEAL For Leader,REVEAL For Leader,TRUE
138,Gary Chapman,Gary Chapman,TRUE
139,Carlos Cuauhtémoc Sánchez,Carlos Cuauhtémoc Sánchez,TRUE
140,Tim Elmore,Tim Elmore,TRUE
141,Christena Cleveland,Christena Cleveland,TRUE
142,Tiphani Montgomery,Tiphani Montgomery,TRUE
143,Marianne Williamson,Marianne Williamson,TRUE
144,Elizabeth Gilbert,Elizabeth Gilbert,TRUE
145,Brené Brown,Brené Brown,TRUE
146,Ryan Holdeman,Ryan Holdeman,TRUE
147,Analytics,Analytics,TRUE
148,James Clear,James Clear,TRUE
149,Tim Ferriss,Tim Ferriss,TRUE
150,Seth Godin,Seth Godin,TRUE
151,Grit & Virtue,Grit & Virtue,TRUE
152,April Diaz,April Diaz,TRUE
153,Mark Buchanan,Mark Buchanan,TRUE
154,Harvey Carey,Harvey Carey,TRUE
155,Ron Deal,Ron Deal,TRUE
156,Stephen Mattson,Stephen Mattson,TRUE
157,Brandon Schafer,Brandon Schafer,TRUE
158,Dr. Scott Stanley,Dr. Scott Stanley,TRUE
159,John Gottman,John Gottman,TRUE
160,Brad Wilcox,Brad Wilcox,TRUE
161,SIYLI - Search Inside Yourself Leadership Institute,SIYLI - Search Inside Yourself Leadership Institute,TRUE
162,Jeff Kemp,Jeff Kemp,TRUE
163,Bill Farrel,Bill Farrel,TRUE
164,Dr. Emerson Eggerichs,Dr. Emerson Eggerichs,TRUE
165,Dr. Gary Chapman,Dr. Gary Chapman,TRUE
166,Michael Hyatt,Michael Hyatt,TRUE
0,Ambiguous,Ambiguous,TRUE
-1,Ambiguous Internal,Ambiguous,TRUE
