platform_action,group,mode,end_user_allowed
Shared Collection to Champion Group Space,Shared,Champion.Others,TRUE
Shared Collection to Group Space,Shared,Champion.Others,TRUE
Shared Collection to Private Space,Shared,Champion.Others,TRUE
Shared Collection to Shared Space,Shared,Champion.Others,TRUE
Shared Collection to Timeline,Shared,Champion.Others,TRUE
Shared Collection to User Group Space,Shared,Champion.Others,TRUE
Shared Form Response to Champion Group Space,Shared,Champion.Others,TRUE
Shared Form Response to Group Space,Shared,Champion.Others,TRUE
Shared Form Response to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Form Response to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Form Response to Timeline,Shared,Invest.for.Self.Us,TRUE
Shared Form Response to User Group Space,Shared,Invest.for.Self.Us,TRUE
Shared Link to Champion Group Space,Shared,Champion.Others,TRUE
Shared Link to Group Space,Shared,Champion.Others,TRUE
Shared Link to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Link to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Link to Timeline,Shared,Invest.for.Self.Us,TRUE
Shared Link to User Group Space,Shared,Invest.for.Self.Us,TRUE
Shared Media to Champion Group Space,Shared,Champion.Others,TRUE
Shared Media to Group Space,Shared,Champion.Others,TRUE
Shared Media to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Media to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Media to Timeline,Shared,Invest.for.Self.Us,TRUE
Shared Media to User Group Space,Shared,Invest.for.Self.Us,TRUE
Shared Moment to Champion Group Space,Shared,Champion.Others,TRUE
Shared Moment to Group Space,Shared,Champion.Others,TRUE
Shared Moment to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Moment to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Moment to Timeline,Shared,Champion.Others,TRUE
Shared Moment to User Group Space,Shared,Champion.Others,TRUE
Shared Note to Champion Group Space,Shared,Champion.Others,TRUE
Shared Note to Group Space,Shared,Champion.Others,TRUE
Shared Note to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Note to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Note to Timeline,Shared,Invest.for.Self.Us,TRUE
Shared Note to User Group Space,Shared,Invest.for.Self.Us,TRUE
Shared Post to Champion Group Space,Shared,Champion.Others,TRUE
Shared Post to Group Space,Shared,Champion.Others,TRUE
Shared Post to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Post to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Post to Timeline,Shared,Invest.for.Self.Us,TRUE
Shared Post to User Group Space,Shared,Invest.for.Self.Us,TRUE
Shared Program to Champion Group Space,Shared,Champion.Others,TRUE
Shared Program to Group Space,Shared,Champion.Others,TRUE
Shared Program to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Program to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Program to Timeline,Shared,Invest.for.Self.Us,TRUE
Shared Program to User Group Space,Shared,Invest.for.Self.Us,TRUE
Shared Result to Champion Group Space,Shared,Champion.Others,TRUE
Shared Result to Group Space,Shared,Champion.Others,TRUE
Shared Result to Private Space,Shared,Invest.for.Self.Us,TRUE
Shared Result to Shared Space,Shared,Invest.for.Self.Us,TRUE
Shared Result to Timeline,Shared,Invest.for.Self.Us,TRUE
Shared Result to User Group Space,Shared,Invest.for.Self.Us,TRUE
Space Membership Invitation Accepted,Joined Space,Invest.for.Self.Us,TRUE
Space Membership Invitation Declined,Invitation Declined,Disengage,TRUE
Started Assessment,Started Assessment,Receive.Value,TRUE
Started Content,,,TRUE
Started Moment,Started Moment,Receive.Value,TRUE
Started Program,Started Program,Receive.Value,TRUE
Started Session,Started Session,,TRUE
Unpublished Program,,Champion.Others,FALSE
Updated AddToQueueElement Element,,Champion.Others,FALSE
Updated AssessmentMetricPrerequisite Prerequisite,,Champion.Others,FALSE
Updated AssessmentResultPrerequisite Prerequisite,,,FALSE
